{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::verlegen}} : <span class="content">sich <a href="/rechtschreibung/legen#b2-Bedeutung-7" meta-ref-anker="#b2-Bedeutung-7" meta-ref-id="10085927" meta-ref-name="legen" meta-type="art">legen (7)</a></span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich verlegen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sich auf ein bestimmtes Fachgebiet verlegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er verlegte sich aufs Bitten, Leugnen</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content">(von einem Verlag) veröffentlichen</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">ursprünglich = Geld (für die Druckkosten eines Buches) vorlegen, vorstrecken</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Roman verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">seine Werke werden bei Faber &amp;; Faber verlegt</span></span></li><li><span class="beispiel"><span class="font_normal">dieses Haus verlegt Bücher, Musikwerke, Zeitschriften</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie gründete extra einen Verlag, um ihre Werke selbst zu verlegen</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content">in einer peinlichen, unangenehmen Situation nicht so recht wissend, wie man sich verhalten soll; Unsicherheit und eine Art von Hilflosigkeit ausdrückend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein verlegener kleiner Junge</span></span></li><li><span class="beispiel"><span class="font_normal">ein verlegener Blick</span></span></li><li><span class="beispiel"><span class="font_normal">es entstand eine verlegene Pause, ein verlegenes Schweigen</span></span></li><li><span class="beispiel"><span class="font_normal">sie war, wurde ganz verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">verlegen lächeln, dastehen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er räusperte sich verlegen</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content"></span>	<div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">um etwas verlegen sein</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">etwas nicht zur Verfügung haben, es benötigen, brauchen: <span class="beispiel"><span class="font_normal">er ist immer um Geld verlegen</span></span></span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">nicht/nie um etwas verlegen sein</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">immer etwas als Entgegnung bereithaben: <span class="beispiel"><span class="font_normal">sie ist nie um Worte, eine Ausrede, eine Antwort verlegen</span></span></span></span>)</span></li></ul></div>
{{c1::ermitteln}} : <span class="content">durch [geschicktes] Nachforschen herausfinden, feststellen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Täter, die Adresse ermitteln</span></span></div>
{{c1::ermitteln}} : <span class="content">errechnen, feststellen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">den Sieger in einem Wettkampf, den Durchschnittswert ermitteln</span></span></div>
{{c1::ermitteln}} : <span class="content">Untersuchungen durchführen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Rechtssprache</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">gegen jemanden in einer Strafsache, wegen Sachbeschädigung ermitteln</span></span></div>
{{c1::Plakat}} : <dd class="content">großformatiges Stück festes Papier mit einem Text [und Bildern], das zum Zwecke der Information, Werbung, politischen Propaganda o. Ä. öffentlich und an gut sichtbaren Stellen befestigt wird<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100281948"><img meta-alt="Plakat - Für einen Kinofilm werbendes Plakat" meta-bu="Für einen Kinofilm werbendes Plakat - © Bibliographisches Institut, Berlin" meta-dateiname="Plakat-201100281948.jpg" meta-ref-id="201100281948" meta-size="medium" meta-title="Plakat - Für einen Kinofilm werbendes Plakat" meta-type="image" src="http://duden.de/_media_/small/P/Plakat-201100281948.jpg"/></a><br/><span class="bu">Für einen Kinofilm werbendes Plakat - © Bibliographisches Institut, Berlin</span><span style="display:none"><span class="colorboxbiga" id="largimage201100281948"><img class="hidden" src="http://duden.de/_media_/full/P/Plakat-201100281948.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Für einen Kinofilm werbendes Plakat - © Bibliographisches Institut, Berlin</span></span></span></span></span></dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">grelle, bunte, riesige Plakate</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Plakate [an]kleben</span></span></li></ul></div>
{{c1::Fälschung}} : <span class="content">das Fälschen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>Plural selten</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Fälschung einer Unterschrift</span></span></div>
{{c1::Fälschung}} : <span class="content">etwas Gefälschtes, gefälschter Gegenstand</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">das Gemälde ist eine Fälschung</span></span></div>
{{c1::rau}} : <span class="content">auf der Oberfläche kleine Unebenheiten, Risse o. Ä. aufweisend, sich nicht glatt anfühlend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine raue Oberfläche, Wand</span></span></li><li><span class="beispiel"><span class="font_normal">rauer Putz</span></span></li><li><span class="beispiel"><span class="font_normal">die raue <span class="font_kursiv">(vom Sturm aufgewühlte) </span>See</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">raue <span class="font_kursiv">(aufgesprungene) </span>Hände</span></span></li></ul></div>
{{c1::rau}} : <span class="content">nicht <a href="http://www.duden.de/rechtschreibung/milde#b2-Bedeutung-2a" meta-ref-anker="#b2-Bedeutung-2a" meta-ref-id="10016085" meta-ref-name="milde" meta-type="art">mild (2a)</a>, sondern unangenehm kalt</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">raues Klima</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der raue Norden</span></span></li></ul></div>
{{c1::rau}} : <span class="content">(von einer Landschaft o. Ä.) nicht lieblich anmutend; unwirtlich</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">eine raue Gegend</span></span></div>
{{c1::rau}} : <span class="content">(von der Stimme o. Ä.) nicht volltönend, heiser, kratzig</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">raue Laute</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">seine Stimme klingt rau</span></span></li></ul></div>
{{c1::rau}} : <span class="content">(vom Hals) entzündet und deshalb eine unangenehm kratzende Empfindung hervorrufend</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen rauen Hals, eine raue Kehle haben</span></span></div>
{{c1::rau}} : <span class="content">im Umgang mit anderen Feingefühl vermissen lassend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">raue Gesellen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">hier herrschen raue Sitten</span></span></li></ul></div>
{{c1::rau}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/roh#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10013623" meta-ref-name="roh" meta-type="art">roh (1,  2a)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">landschaftlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">raue Eier</span></span></li><li><span class="beispiel"><span class="font_normal">raues <span class="font_kursiv">(unbearbeitetes) </span>Material</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">rauer <span class="font_kursiv">(ungekelterter) </span>Wein</span></span></li></ul></div>
{{c1::Mandant}} : <dd class="content">Klient (besonders eines Rechtsanwalts), Kunde, Auftraggeber</dd>	
{{c1::drehen}} : <span class="content">im Kreis [teilweise] um seine Achse bewegen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">den Schlüssel im Schloss drehen</span></span></div>
{{c1::drehen}} : <span class="content">sich im Kreis [teilweise] um seine Achse bewegen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich drehen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Räder, Zeiger, Walzen drehen sich</span></span></li><li><span class="beispiel"><span class="font_normal">das Karussell dreht sich im Kreise</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">jemandem dreht sich alles</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemandem ist schwindlig</span></span>)</span></div>
{{c1::drehen}} : <span class="content">durch eine Drehbewegung in eine bestimmte andere Richtung o. Ä. bringen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sich auf den Rücken drehen</span></span></li><li><span class="beispiel"><span class="font_normal">du musst den Schalter nach rechts drehen</span></span></li><li><span class="beispiel"><span class="font_normal">den Kopf zur Seite drehen</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">man kann die Sache drehen und wenden, wie man will <span class="font_kursiv">(auch wenn man die Sache unter verschiedenen Gesichtspunkten betrachtet), </span>sie wird dadurch nicht besser</span></span></li></ul></div>
{{c1::drehen}} : <span class="content">seine Richtung durch eine Drehung ändern</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Schiff dreht [nach Norden]</span></span></li><li><span class="beispiel"><span class="font_normal">der Wind hat gedreht</span></span> <span class="font_kursiv">(ist umgesprungen)</span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Autofahrer drehte <span class="font_kursiv">(wendete das Auto) </span>und fuhr zurück</span></span></li></ul></div>
{{c1::drehen}} : <span class="content">einen [Rund]kurs absolvieren</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">eine Schleife, ein paar Runden drehen</span></span></div>
{{c1::drehen}} : <span class="content">mit etwas eine Drehbewegung ausführen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ich drehe an dem Schalter</span></span></li><li><span class="beispiel"><span class="font_normal">am Radio drehen</span></span> <span class="font_kursiv">(die Knöpfe des Radios betätigen)</span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">da hat doch jemand dran gedreht</span> <span class="content">(<span class="iw_kopf_info">salopp:  </span><span class="iw_rumpf_info"><span class="font_normal">da stimmt doch etwas nicht, ist etwas nicht in Ordnung</span></span>)</span></div>
{{c1::drehen}} : <span class="content">(einen Apparat) durch eine Drehbewegung in bestimmter Weise einstellen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">den Herd klein, auf klein drehen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Heizung höher drehen</span></span></li></ul></div>
{{c1::drehen}} : <span class="content">mit Drehbewegungen o. Ä. [maschinell] formen, herstellen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Seile, Schrauben, Pillen drehen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich drehte mir eine Zigarette</span></span></li></ul></div>
{{c1::drehen}} : <span class="content">(von Filmen o. Ä.) herstellen, machen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Film, ein Video drehen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">in Mexiko drehen</span></span> <span class="font_kursiv">(Filmaufnahmen machen)</span></li></ul></div>
{{c1::drehen}} : <span class="content">etwas Bestimmtes zum Gegenstand haben</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich drehen</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Gespräch dreht sich um Politik</span></span></li><li>&lt;auch unpersönlich&gt;: <span class="beispiel"><span class="font_normal">in dem Prozess dreht es sich um Betrügereien</span></span></li><li><span class="beispiel"><span class="font_normal">es dreht sich <span class="font_kursiv">(geht) </span>um etwas ganz anderes</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">es dreht sich alles um ihn</span></span> <span class="font_kursiv">(er steht bei allen Überlegungen im Vordergrund)</span></li></ul></div>
